Section,Sub-section,Model name,Model Parameter,Portfolio,Status,Materiality,Over/under estimate,ECL impact,Comments
Chile - BNS Portfolios,PD Backtesting,BNS Portfolios PD,PD,Mortgage,Pass,-,-,-,"The PD parameters of mortgage, revolving and loans performed well in 2026Q1. Due to the loan restructure in Chile revolving, the loan default behaviour cannot be appropriately tracked in the portfolio. The restructured loans are refinanced by term loans. That's why revolving and term loans are combined and tested together. The PDs of Chile revolving and term loans showed overestimation between 2017 to 2023. However, the estimate PD converged to the realized PD in the recent quarters. The low realized default rate between 2020 to 2023 is attributed to government reliefs during the pandemic. As the impact of the government programs diminish, we observe the default rate trending upward. Note: Since the ECL of revolving accounts with zero balance were calculated separately out of ECL production. The zero balance account adjustment has been included in the estimate PD."
Chile - BNS Portfolios,PD Backtesting,BNS Portfolios PD,PD,Revolving,Pass,-,-,-,"The PD parameters of mortgage, revolving and loans performed well in 2026Q1. Due to the loan restructure in Chile revolving, the loan default behaviour cannot be appropriately tracked in the portfolio. The restructured loans are refinanced by term loans. That's why revolving and term loans are combined and tested together. The PDs of Chile revolving and term loans showed overestimation between 2017 to 2023. However, the estimate PD converged to the realized PD in the recent quarters. The low realized default rate between 2020 to 2023 is attributed to government reliefs during the pandemic. As the impact of the government programs diminish, we observe the default rate trending upward. Note: Since the ECL of revolving accounts with zero balance were calculated separately out of ECL production. The zero balance account adjustment has been included in the estimate PD."
Chile - BNS Portfolios,PD Backtesting,BNS Portfolios PD,PD,Term Loans,Pass,-,-,-,"The PD parameters of mortgage, revolving and loans performed well in 2026Q1. Due to the loan restructure in Chile revolving, the loan default behaviour cannot be appropriately tracked in the portfolio. The restructured loans are refinanced by term loans. That's why revolving and term loans are combined and tested together. The PDs of Chile revolving and term loans showed overestimation between 2017 to 2023. However, the estimate PD converged to the realized PD in the recent quarters. The low realized default rate between 2020 to 2023 is attributed to government reliefs during the pandemic. As the impact of the government programs diminish, we observe the default rate trending upward. Note: Since the ECL of revolving accounts with zero balance were calculated separately out of ECL production. The zero balance account adjustment has been included in the estimate PD."
Chile - BNS Portfolios,NWO LGD,BNS NWO LGD,LGD,Mortgages,Pass,-,-,-,"The Provided LGD values of Chile-BNS portfolios are in an acceptable range. Continue monitoring."
Chile - BNS Portfolios,NWO LGD,BNS NWO LGD,LGD,Revolving & Term Loans,Pass,-,-,-,"The Provided LGD values of Chile-BNS portfolios are in an acceptable range. Continue monitoring."
Chile - BNS Portfolios,EAD Monitoring,BNS EAD,EAD,Revolving Portfolio,Warning,0.65MM,-,0.65MM,"EAD parameters of revolving products have immaterial breach. Continue monitoring."
Chile - BNS Portfolios,SIR Monitoring,BNS SIR,SIR,-,Pass,-,-,-,"Chile BNS SICR models performed well in all tests."
Chile - Cencosud Credit Cards,Backtesting,Chile CAT CC,PD,-,Fail,30.50%,under,$+8.22 MM,"The FLI PD model parameters indicate underestimation in three quarters with ECL impact of $+8.22 MM."
Chile - Cencosud Credit Cards,Backtesting,Chile CAT CC,LGD-ND,-,Fail,30.50%,over,$-5.45 MM,"The LGD-ND model shows consistent overestimation across recent quarters."
Chile - Cencosud Credit Cards,Backtesting,Chile CAT CC,LGD-D,-,Fail,13.50%,over,$-1.67 MM,"The LGD-D model parameters reflect overestimation."
Chile - Cencosud Credit Cards,Backtesting,Chile CAT CC,EAD,-,Pass,-,-,-,"No breach observed."
Peru - BNS Portfolios,PD Monitoring,SBP Portfolio,PD,Small Business,Fail,13.10%,over,CAD $-9.34MM,"PD of SBP Small Business is in red zone."
Peru - BNS Portfolios,PD Monitoring,SBP Portfolio,PD,Personal Loans,Fail,27.60%,under,CAD $13.03MM,"PD of SBP Personal Loans is in red zone."
Mexico Portfolios,PD Monitoring,Mexico PD,PD,-,Acceptable,-,-,-,"PD calibration within acceptable boundaries for mortgage portfolio."
Mexico Portfolios,EAD Monitoring,Mexico EAD,EAD,Credit Cards & LOC,Warning,16.30%,under,$2.66MM,"There was a breach on the EAD parameters of Revolving Products with an ECL impact of $2.66MM."
Mexico Portfolios,NWO Monitoring,Mexico NWO,LGD,Mortgages,Warning,-,over,-,"Net write-off ratios of Mexico mortgage portfolio are higher than monitoring range."
